"id_reac","smiles","description","solvent","catalyst","temperature"
"US039857532","[F:1][C:2]1[CH:8]=[CH:7][C:5]([NH2:6])=[CH:4][CH:3]=1.C([O:11][CH:12]=[C:13]([C:19](OCC)=O)[C:14]([O:16][CH2:17][CH3:18])=[O:15])C.C(O)C.C1(OC2C=CC=CC=2)C=CC=CC=1>C(OCC)C>[F:1][C:2]1[CH:8]=[C:7]2[C:5](=[CH:4][CH:3]=1)[N:6]=[CH:19][C:13]([C:14]([O:16][CH2:17][CH3:18])=[O:15])=[C:12]2[OH:11]","A mixture of 66.6 g (0.6 mole) of 4-fluoroaniline and 129.79 g (0.6 mole) of diethyl ethoxymethylenemalonate was prepared under a nitrogen atmosphere and heated to 140° C. The ethanol generated was allowed to vaporize during a reaction time of about one hour. To the mixture was added 500 ml of diphenyl ether. The mixture was stirred and heated to its reflux temperature, and maintained at reflux for 15 minutes. The mixture was then cooled, and diethyl ether was added. The product was separated by filtration, washed with diethyl ether and air dried to provide 97.3 g (69% yield) of ethyl 6-fluor-4-hydroxyquinoline-3-carboxylate.","C(C)OCC","",""
"US039857534","[F:1][C:2]1[CH:3]=[C:4]2[C:9](=[CH:10][CH:11]=1)[NH:8][CH:7]([CH3:12])[CH2:6][C:5]2=[O:13].C([O:16][CH:17]=[C:18]([C:24](OCC)=O)[C:19]([O:21][CH2:22][CH3:23])=[O:20])C>>[O:16]=[C:17]1[C:10]2=[CH:11][C:2]([F:1])=[CH:3][C:4]3=[C:9]2[N:8]([CH:7]([CH3:12])[CH2:6][C:5]3=[O:13])[CH:24]=[C:18]1[C:19]([O:21][CH2:22][CH3:23])=[O:20]","A stirred mixture of 12 g (0.067 mole) of 6-fluoro-2-methyl-4-oxo-1,2,3,4-tetrahydroquinoline from example 4 and 14.8 g (0.070 mole) of diethyl ethoxymethylenemalonate was heated gradually to 160° to 180° C. while removing the ethanol generated by distillation. After 0.5 hour the mixture was cooled to 60° C., and 30 g of polyphosphoric acid was added. This mixture was heated gradually to 150 to 160° C. and maintained at 155° to 160° C. for 5 to 10 minutes. Following cooling, water was added, and the mixture was kneaded to produce an orange powder which was separated by filtration. Recrystallization from a mixture of 500 ml of 95% ethanol and 100 ml of glacial acetic acid gave a yellow product, ethyl 6,7-dihydro-1,7-dioxo-9-fluoro-5-methyl-1H,5H-benzo[ij]-quinolizine-2-carboxylate, m.p. 262°-265° C.","C(C)OCC","",""
"US039857535","[OH:1][CH:2]1[CH2:11][CH:10]([CH3:12])[N:9]2[C:4]3[C:5](=[CH:17][CH:18]=[CH:19][C:3]1=3)[C:6](=[O:16])[C:7]([C:13]([OH:15])=[O:14])=[CH:8]2.S(=O)(=O)(O)O.[N+:25]([O-])([OH:27])=[O:26].[OH-].[NH4+]>>[OH:1][CH:2]1[CH2:11][CH:10]([CH3:12])[N:9]2[C:4]3[C:5](=[C:17]([N+:25]([O-:27])=[O:26])[CH:18]=[CH:19][C:3]1=3)[C:6](=[O:16])[C:7]([C:13]([OH:15])=[O:14])=[CH:8]2 |f:3.4|","A solution of 0.1 mole of 6,7-dihydro-7-hydroxy-5-methyl-1-oxo-1H,5H-benzo[ij]quinolizine-2-carboxylic acid in 150 ml. of concentrated sulfuric acid is treated with a mixture of 150 ml. of concentrated sulfuric acid and 10 ml. of nitric acid while keeping the temperature below 30° C. The solution is stirred for about 24 hours, poured over ice and partially neutralized to a pH of 2 with ammonium hydroxide. The product, 6,7-dihydro-7-hydroxy-5-methyl-10-nitro-1-oxo-1H,5H-benzo[ij]quinolizine-2-carboxylic acid is isolated by filtration.","C(C)OCC","",""
"US039857536","[NH2:1][C:2]1[CH:3]=[CH:4][C:5]2[C:6](=[O:20])[CH2:7][CH:8]([CH3:19])[N:9]3[C:14]=2[C:13]=1[C:12](=[O:15])[C:11]([C:16]([OH:18])=[O:17])=[CH:10]3.[C:21](OC(=O)C)(=[O:23])[CH3:22]>>[C:21]([NH:1][C:2]1[CH:3]=[CH:4][C:5]2[C:6](=[O:20])[CH2:7][CH:8]([CH3:19])[N:9]3[C:14]=2[C:13]=1[C:12](=[O:15])[C:11]([C:16]([OH:18])=[O:17])=[CH:10]3)(=[O:23])[CH3:22]","10-amino-6,7-dihydro-5-methyl-1,7-dioxo-1H,5H-benzo[ij]quinolizine-2-carboxylic acid (0.02 mole) and acetic anhydride (50 ml.) are stirred and heated on a steam bath for 3 hours. After cooling, the solid precipitate is separated by filtration to give 10-acetamido-6,7-dihydro-5-methyl-1,7-dioxo-1H,5H-benzo[ij]quinolizine-2-carboxylic acid. This product is reduced using sodium borohydride to provide 10-acetamido-6,7-dihydro-7-hydroxy-5-methyl-1-oxo-1H,5H-benzo[ij]quinolizine-2-carboxylic acid.","C(C)OCC","",""
"US039857571","[O:1]1[CH:5]=[CH:4][CH:3]=[C:2]1[CH2:6][N:7]1[C:11]([NH:12][CH:13]=[C:14]([C:20](=[O:27])[C:21]2[CH:22]=[N:23][CH:24]=[CH:25][CH:26]=2)[C:15]([O:17]CC)=O)=[CH:10][CH:9]=[N:8]1.C1(OC2C=CC=CC=2)C=CC=CC=1>CCOCC>[O:1]1[CH:5]=[CH:4][CH:3]=[C:2]1[CH2:6][N:7]1[C:11]2=[N:12][CH:13]=[C:14]([C:20]([C:21]3[CH:22]=[N:23][CH:24]=[CH:25][CH:26]=3)=[O:27])[C:15]([OH:17])=[C:10]2[CH:9]=[N:8]1","7.3 g. of α-[[[1-(2-furanylmethyl)- 1H-pyrazol-5-yl]-amino]methylene]-β-oxo-3-pyridinepropanoic acid, ethyl ester (0.02 mol.) are heated in 20 ml. of diphenylether at 250° for 10 minutes. The mixture is cooled to room temperature and 20 ml. of ether are added. The product, [1-(2-furanylmethyl)-4-hydroxy-1H-pyrazolo]3,4 -b]pyridin-5-yl]-3-pyridylmethanone precipitates and is recrystallized from butyl alcohol, yield 3.8 g. (60%); m.p. 152°-153°.","CCOCC","",""
"US039857572","[O:1]1[CH:5]=[CH:4][CH:3]=[C:2]1[CH2:6][N:7]1[C:11]2=[N:12][CH:13]=[C:14]([C:17]([C:19]3[S:20][CH:21]=[CH:22][CH:23]=3)=[O:18])[C:15]([OH:16])=[C:10]2[CH:9]=[N:8]1.C(=O)([O-])[O-].[K+].[K+].[CH2:30](I)[CH3:31]>CN(C)C=O>[CH2:30]([O:16][C:15]1[C:14]([C:17]([C:19]2[S:20][CH:21]=[CH:22][CH:23]=2)=[O:18])=[CH:13][N:12]=[C:11]2[N:7]([CH2:6][C:2]3[O:1][CH:5]=[CH:4][CH:3]=3)[N:8]=[CH:9][C:10]=12)[CH3:31] |f:1.2.3|","3.3 g. of [1-(2-furanylmethyl)-4-hydroxy-1H-pyrazolo[ 3,4-b]pyridine-5-yl]-2-thienylmethanone (0.01 mol.), 1.5 g. of potassium carbonate (0.011 mol.) and 3.1 g. of ethyl iodide (0.02 mol.) are stirred together in 20 ml. of dimethylformamide at 70° for 12 hours. After this time, the inorganic precipitate is filtered off and the filtrate treated with about 10 ml. of water. The product, [4-Ethoxy-1-(2-furanylmethyl)-1H-pyrazolo[ 3,4-b]pyridin-5-yl]-2-thienylmethanone, crystallizes on standing, yield 3 g. (86%); m.p. 85°-87° (methanol).","CN(C=O)C","",""
"US039857573","[CH2:1]([O:3][C:4]1[C:9]([C:10]([C:12]2[S:13][CH:14]=[CH:15][CH:16]=2)=[O:11])=[CH:8][N:7]=[C:6]2[N:17](CC3OC=CC=3)[N:18]=[CH:19][C:5]=12)[CH3:2].[Se](=O)=O>COCCOCCOC>[CH2:1]([O:3][C:4]1[C:9]([C:10]([C:12]2[S:13][CH:14]=[CH:15][CH:16]=2)=[O:11])=[CH:8][N:7]=[C:6]2[NH:17][N:18]=[CH:19][C:5]=12)[CH3:2]","3.5 g. of [4-ethoxy-1-(2-furanylmethyl)-1H-pyrazolo[3,4-b]pyridin-5-yl]-2-thienylmethanone (0.01 mol.) are treated with 1.22 g. of selenium dioxide (0.011 mol.) in 20 ml. of diethyleneglycol dimethylether at reflux temperature for 1.5 hours with stirring. The precipitated selenium is filtered off and the solution is evaporated to dryness in vacuo. The remaining product, (4-ethoxy-1H-pyrazolo[3,4-b]pyridin-5-yl]-2-thienylmethanone, is recrystallized from butanol, yield 2 g. (75%); m.p. 202°-205°.","COCCOCCOC","",""
"US039857511","[CH:1]1[C:11]2[CH2:10][CH2:9][C:8]3[CH:12]=[CH:13][CH:14]=[CH:15][C:7]=3[CH:6]([CH2:16][NH2:17])[C:5]=2[CH:4]=[CH:3][CH:2]=1.[C:18]1(=[O:23])[O:22][CH2:21][CH2:20][CH2:19]1>>[CH:1]1[C:11]2[CH2:10][CH2:9][C:8]3[CH:12]=[CH:13][CH:14]=[CH:15][C:7]=3[CH:6]([CH2:16][NH:17][C:21](=[O:22])[CH2:20][CH2:19][CH2:18][OH:23])[C:5]=2[CH:4]=[CH:3][CH:2]=1","10,11-Dihydro-5H-dibenzo[a,d]cycloheptene-5-methylamine (8.5 g) and γ-butyrolactone (3.7 g) are heated at 150° C. (internal temperature) for 1 hour. After cooling, the solid residue is recrystallized from benzene to give N-[(10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5-yl)methyl]-4-hydroxybutyramide, (III, Alk = CH2CH2CH2 and Y = OH), m.p. 103°-105° C.","COCCOCCOC","",""
"US039857512","[CH:1]1[C:11]2[CH2:10][CH2:9][C:8]3[CH:12]=[CH:13][CH:14]=[CH:15][C:7]=3[CH:6]([CH2:16][NH2:17])[C:5]=2[CH:4]=[CH:3][CH:2]=1.ClC[CH2:20][CH2:21][CH2:22][C:23](Cl)=[O:24].C(=O)([O-])[O-:27].[Na+].[Na+]>C1C=CC=CC=1.O>[CH:1]1[C:11]2[CH2:10][CH2:9][C:8]3[CH:12]=[CH:13][CH:14]=[CH:15][C:7]=3[CH:6]([CH2:16][NH:17][C:20](=[O:27])[CH2:21][CH2:22][CH2:23][OH:24])[C:5]=2[CH:4]=[CH:3][CH:2]=1 |f:2.3.4|","A mixture of 10,11-dihydro-5H-dibenzo[a,d]cycloheptene-5-methylamine (20.0 g), 5-chlorovaleric acid chloride (19.2 g) and sodium carbonate (35.0 g) in 250 ml of benzene is stirred and subjected to reflux for 16 hours. The reaction mixture is diluted with water. The benzene layer is separated and washed with water, dried and evaporated to dryness The residue is crystallized from benzene-hexane to afford the haloamide N-[(10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5-yl)methyl]-5-chlorovaleramide (III, Alk = CH2CH2CH2CH2 and Y = Cl), m.p.., 98°-99° C.","O","",""
"US039857515","[CH:1]1[C:11]2[CH2:10][CH:9]([CH2:12][NH2:13])[C:8]3[CH:14]=[CH:15][CH:16]=[CH:17][C:7]=3[CH2:6][C:5]=2[CH:4]=[CH:3][CH:2]=1.[C:18]1(=[O:24])[O:23][CH2:22][CH2:21][CH2:20][CH2:19]1.C(O)C.C(=O)([O-])[O-].[K+].[K+]>O>[CH:1]1[C:11]2[CH2:10][CH:9]([CH2:12][NH:13][C:22](=[O:23])[CH2:21][CH2:20][CH2:19][CH2:18][OH:24])[C:8]3[CH:14]=[CH:15][CH:16]=[CH:17][C:7]=3[CH2:6][C:5]=2[CH:4]=[CH:3][CH:2]=1 |f:3.4.5|","10,11-Dihydro-5H-dibenzo[a,d]cycloheptene-10-methylamine, γmaxCHCl3 3390, 3300 cm-1, (52.3 g, 0.234 mole), is combined with δ-valerolactone (35 g, 0.35 mole). The mixture is heated for 2 hr. at 150° C (oil bath temperature). After partial cooling, ethanol (250 ml) is added followed by a solution of potassium carbonate (50 g, 0.36 mole) in water (150 ml). The two-phase mixture is stirred at 60° C overnight. The ethanol is removed under reduced pressure and the residual mixture extracted with chloroform. The chloroform solution is washed with water, dried and taken to dryness. The residue is crystallized from benzene (750 ml) -ether (ca 800 ml) affording N-[(10,11-dihydro-5H-dibenzo[a,d]cyclohepten-10-yl)methyl]-5-hydroxyvaleramide, m.p. 96° - 98° C, γ maxCHCl3 3630, 3445, 3350, 1663 cm-1.","O","",""
"US039857381","Cl[C:2]1[CH:3]=[CH:4][C:5]2[N:6]([N:8]=[N:9][N:10]=2)[N:7]=1.[SH-:11].[K+]>C(O)C>[SH:11][C:2]1[CH:3]=[CH:4][C:5]2[N:6]([N:8]=[N:9][N:10]=2)[N:7]=1 |f:1.2|","A mixture of 21.3 g. (0.137 mole) of 12 and 20 g. (0.25 mole) of potassium hydrosulfide in 200 ml. of ethanol was refluxed for 2 hours and evaporated to dryness. The residue was dissolved in 100 ml. of water and filtered to remove a small amount of insoluble material. The filtrate was acidified to pH 1 with dil. hydrochloric acid to precipitate (13) as colorless needles which were collected by filtration, washed with 20 ml. of water and dried. Yield 9.80 g. (47%). M.p. 140°-141° C. (dec.).","C(C)O","",""
"US039857541","[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([F:13])=[CH:9][CH:8]=1)=[O:6].[CH3:14][C:15]1[N:16]=[C:17]([C:20]2[CH:25]=[CH:24][N:23]=[CH:22][CH:21]=2)[S:18][CH:19]=1>CCOCC>[Cl-:1].[F:13][C:10]1[CH:11]=[CH:12][C:7]([C:5]([CH2:4][CH2:3][CH2:2][C:25]2[CH:24]=[NH+:23][CH:22]=[CH:21][C:20]=2[C:17]2[S:18][CH:19]=[C:15]([CH3:14])[N:16]=2)=[O:6])=[CH:8][CH:9]=1 |f:3.4|","A 1.0 g. portion of γ-chloro-p-fluorobutyrophenone and 0.9 g. of 4-(4-methyl-2-thiazolyl)pyridine are heated in an oil bath at 95°-100° C. overnight. Ether is added and the mixture is filtered. The solid is recrystallized from acetonitrile. This solid is recrystallized from a mixture of alcohol and ether, m.p. 226°-228° C.","CCOCC","",""
"US039857542","Cl([O-])(=O)(=O)=O.[CH:6]1([C:9]2[O:13][N:12]=[C:11]([C:14]3[CH:19]=[CH:18][N+:17]([CH2:20][CH2:21][CH2:22][C:23](=[O:31])[C:24]4[CH:29]=[CH:28][C:27]([F:30])=[CH:26][CH:25]=4)=[CH:16][CH:15]=3)[N:10]=2)[CH2:8][CH2:7]1.CO.[BH4-].[Na+]>O>[CH:6]1([C:9]2[O:13][N:12]=[C:11]([C:14]3[CH2:19][CH2:18][N:17]([CH2:20][CH2:21][CH2:22][CH:23]([C:24]4[CH:29]=[CH:28][C:27]([F:30])=[CH:26][CH:25]=4)[OH:31])[CH2:16][CH:15]=3)[N:10]=2)[CH2:7][CH2:8]1 |f:0.1,3.4|","To a 1.8 g. portion of 4-(5-cyclopropyl-1,2,4-oxadiazol- 3-yl)-1-[3-(p-fluorobenzoyl)-propyl]pyridinium perchlorate, prepared as described in Example 3, in 80 ml. of methanol is added, portionwise with stirring, 1.8 g. of sodium borohydride. The mixture is stirred for 2 hours and then poured into 300 ml. of cold water, causing a white solid to separate. This solid is collected and recrystallized from acetonitrile, m.p. 89°-92° C.","O","",""
"US039857543","[Cl-].[F:2][C:3]1[CH:25]=[CH:24][C:6]([C:7]([CH2:9][CH2:10][CH2:11][N+:12]2[CH:17]=[CH:16][C:15]([C:18]3[S:19][CH:20]=[C:21]([CH3:23])[N:22]=3)=[CH:14][CH:13]=2)=[O:8])=[CH:5][CH:4]=1.CO.[BH4-].[Na+]>O>[F:2][C:3]1[CH:25]=[CH:24][C:6]([CH:7]([OH:8])[CH2:9][CH2:10][CH2:11][N:12]2[CH2:13][CH:14]=[C:15]([C:18]3[S:19][CH:20]=[C:21]([CH3:23])[N:22]=3)[CH2:16][CH2:17]2)=[CH:5][CH:4]=1 |f:0.1,3.4|","To a 0.4 g. portion of 1-(3-p-fluorobenzoylpropyl)- 4-(4-methyl-2-thiazolyl)pyridinium chloride, prepared as described in Example 4, in 20 ml. of methanol is added portionwise with stirring 0.4 g. of sodium borohydride. The mixture is stirred for 2 hours and then poured into water causing the formation of white solid which is separated and recrystallized from acetone and water, m.p. 89°-90.5° C.","O","",""
"US039857545","Cl([O-])(=O)(=O)=O.[F:6][C:7]1[CH:28]=[CH:27][C:10]([C:11]([CH2:13][CH2:14][CH2:15][N+:16]2[CH:21]=[CH:20][C:19]([C:22]3[O:23][CH:24]=[CH:25][N:26]=3)=[CH:18][CH:17]=2)=[O:12])=[CH:9][CH:8]=1.[BH4-].[Na+]>CO>[F:6][C:7]1[CH:28]=[CH:27][C:10]([CH:11]([OH:12])[CH2:13][CH2:14][CH2:15][N:16]2[CH2:17][CH:18]=[C:19]([C:22]3[O:23][CH:24]=[CH:25][N:26]=3)[CH2:20][CH2:21]2)=[CH:9][CH:8]=1 |f:0.1,2.3|","To a 1.75 g. portion of 1-(3-p-fluorobenzoylpropyl)- 4-(2-oxazolyl)pyridinium perchlorate, prepared as described in Example 9, in 75 ml. of methanol, is added portionwise with stirring 1.75 g. of sodium borohydride. The mixture is stirred for 1 1/2 hours, allowed to stand, some of the methanol is evaporated and the mixture is poured into ice water causing the formation of a tan solid which is recovered by filtration, m.p. 100°-103° C.","CO","",""
"US039857546","[F:1][C:2]1[CH:7]=[CH:6][C:5]([CH:8]([OH:24])[CH2:9][CH2:10][CH2:11][N:12]2[CH2:17][CH:16]=[C:15]([C:18]3[S:19][CH:20]=[C:21]([CH3:23])[N:22]=3)[CH2:14][CH2:13]2)=[CH:4][CH:3]=1>[Pd].C(O)C>[F:1][C:2]1[CH:7]=[CH:6][C:5]([CH:8]([OH:24])[CH2:9][CH2:10][CH2:11][N:12]2[CH2:17][CH2:16][CH:15]([C:18]3[S:19][CH:20]=[C:21]([CH3:23])[N:22]=3)[CH2:14][CH2:13]2)=[CH:4][CH:3]=1","A 0.35 g. portion of 3,6-dihydro-α-(p-fluorophenyl)- 4-(4-methyl-2-thiazolyl)-1(2H)-pyridinebutanol, prepared as described in Example 12, is dissolved in 10 ml. of ethanol and 0.1 g. of palladium on carbon catalyst is added. The mixture is reduced to room temperature and pressure for about 26 hours. The mixture is filtered and the filtrate evaporated yielding a white solid which is recrystallized from acetonitrile giving a white crystalline solid, m.p. 98°-99° C.","C(C)O","",""
"US039857547","Cl([O-])(=O)(=O)=O.[C:6]([CH2:14][CH2:15][CH2:16][N+:17]1[CH:22]=[CH:21][C:20]([C:23]2[O:27][N:26]=[C:25]([CH3:28])[CH:24]=2)=[CH:19][CH:18]=1)(=[O:13])[C:7]1[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=1.ClCCCC(C1C=CC=CC=1)=O.CC1C=C(C2C=CN=CC=2)ON=1.[BH4-].[Na+]>CO>[CH3:28][C:25]1[CH:24]=[C:23]([C:20]2[CH2:21][CH2:22][N:17]([CH2:16][CH2:15][CH2:14][CH:6]([C:7]3[CH:8]=[CH:9][CH:10]=[CH:11][CH:12]=3)[OH:13])[CH2:18][CH:19]=2)[O:27][N:26]=1 |f:0.1,4.5|","To a 4.1 g. portion of 1-(3-benzoylpropyl)-4-(3 -methyl-5-isoxazolyl)pyridinium perchlorate [prepared by the reaction of γ-chlorobutyrophenone and 4-(3-methyl-5-isoxazolyl)pyridine as described in the previous examples] in 200 ml. of methanol is added, portionwise with stirring, 4.1 g. of sodium borohydride. The mixture is allowed to stand at room temperature overnight, evaporated to about one-half volume and poured into ice water. The white solid is collected and recrystallized from acetonitrile, m.p. 108°-109° C.","CO","",""
"US039857548","[F:1][C:2]1[CH:7]=[CH:6][C:5]([CH:8]([OH:24])[CH2:9][CH2:10][CH2:11][N:12]2[CH2:17][CH:16]=[C:15]([C:18]3[O:22][N:21]=[C:20]([CH3:23])[CH:19]=3)[CH2:14][CH2:13]2)=[CH:4][CH:3]=1.[Cr](O)(O)(=O)=O.C(=O)(O)[O-].[Na+].O>C(O)(=O)C.CO>[CH3:23][C:20]1[CH:19]=[C:18]([C:15]2[CH2:16][CH2:17][N:12]([CH2:11][CH2:10][CH2:9][C:8]([C:5]3[CH:6]=[CH:7][C:2]([F:1])=[CH:3][CH:4]=3)=[O:24])[CH2:13][CH:14]=2)[O:22][N:21]=1 |f:2.3|","A 1.65 g. portion of 3,6-dihydro-α-(p-fluorophenyl)- 4-(3-methyl-5-isoxazolyl)-1(2H)-pyridine butanol, prepared as described in Example 10, in 35 ml. of acetic acid is stirred at room temperature. A 30 ml. portion of chromic acid in acetic acid (prepared by dissolving 1.1 gm. of chromium oxide in 50 ml. of acetic acid and 10 ml. of water) is added dropwise and the mixture is stirred for 3 hours and then allowed to stand overnight. A few drops of methanol are added and sufficient solid sodium bicarbonate to neutralize the solution. Water is also added. The mixture is extracted 3 times with ether. The extracts are dried over magnesium sulfate, filtered and evaporated yielding a pink solid which is recrystallized twice from methanol, m.p. 96°-98° C.","C(C)(=O)O","",""
"US039857549","[CH:1]1([C:4]2[O:8][N:7]=[C:6]([C:9]3[CH2:10][CH2:11][N:12]([CH2:15][CH2:16][CH2:17][CH:18]([C:20]4[CH:25]=[CH:24][C:23]([F:26])=[CH:22][CH:21]=4)[OH:19])[CH2:13][CH:14]=3)[N:5]=2)[CH2:3][CH2:2]1.[Cr](O)(O)(=O)=O.O.C(=O)(O)[O-].[Na+]>C(O)(=O)C.CO>[CH:1]1([C:4]2[O:8][N:7]=[C:6]([C:9]3[CH2:10][CH2:11][N:12]([CH2:15][CH2:16][CH2:17][C:18]([C:20]4[CH:25]=[CH:24][C:23]([F:26])=[CH:22][CH:21]=4)=[O:19])[CH2:13][CH:14]=3)[N:5]=2)[CH2:2][CH2:3]1 |f:3.4|","A 0.36 g. portion of 4-(5-cyclopropyl-1,2,4-oxadiazol- 3-yl)-3,6-dihydro-α-(p-fluorophenyl)-1(2H)-pyridinebutanol, prepared as described in Example 11, in 10 ml. of acetic acid is stirred at room temperature. A 6 ml. portion of chromic acid in acetic acid solution is added dropwise. The mixture is stirred for 2 hours and then allowed to stand overnight. A few drops of methanol and some water is added and the solution is neutralized with solid sodium bicarbonate. The mixture is extracted 3 times with ether. The extracts are dried over magnesium sulfate, filtered and evaporated, yielding a white solid which is recrystallized from aqueous methanol, m.p. 67°-68° C.","C(C)(=O)O","",""
"US0398575410","[F:1][C:2]1[CH:7]=[CH:6][C:5]([CH:8]([OH:24])[CH2:9][CH2:10][CH2:11][N:12]2[CH2:17][CH:16]=[C:15]([C:18]3[S:19][CH:20]=[C:21]([CH3:23])[N:22]=3)[CH2:14][CH2:13]2)=[CH:4][CH:3]=1.[Cr](O)(O)(=O)=O.C(=O)([O-])[O-].[Na+].[Na+]>C(O)(=O)C>[CH3:23][C:21]1[N:22]=[C:18]([C:15]2[CH2:16][CH2:17][N:12]([CH2:11][CH2:10][CH2:9][C:8]([C:5]3[CH:4]=[CH:3][C:2]([F:1])=[CH:7][CH:6]=3)=[O:24])[CH2:13][CH:14]=2)[S:19][CH:20]=1 |f:2.3.4|","A 1.4 g. portion of 3,6-dihydro-α-(p-fluorophenyl)- 4-(4-methyl-2-thiazolyl)-1(2H)-pyridinebutanol, prepared as described in Example 12, in 30 ml. of acetic acid is stirred at room temperature. A 24 ml. portion of chromic acid in acetic acid is added dropwise. The mixture is stirred for 3 hours and then allowed to stand overnight. The mixture is poured onto ice water and neutralized with sodium carbonate. The mixture is extracted 3 times with ether. The extracts are dried over magnesium sulfate, filtered and evaporated, giving an oil which solidifies. This solid is recrystallized twice from aqueous methanol yielding a tan solid, m.p. 81°-82° C.","C(C)(=O)O","",""
"US039857601","C(O[C:4](=[O:14])[CH2:5][C:6](=O)[C:7]1[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=1)C.[NH2:15][C:16]1[O:20][N:19]=[C:18]([CH3:21])[CH:17]=1>O>[CH3:21][C:18]1[C:17]2[C:4]([OH:14])=[CH:5][C:6]([C:7]3[CH:8]=[CH:9][CH:10]=[CH:11][CH:12]=3)=[N:15][C:16]=2[O:20][N:19]=1","19.2 g. of benzoylacetic acid ethyl ester (0.1 mol.) are added dropwise to a stirred mixture of 9.8 g. of 5-amino-3-methylisoxazole (0.1 mol.) and 50 g. of polyphosphorous acid heated to 120°-125°. After the reaction has occurred, which can be recognized by changing of the color to brown, the reaction mixture is heated for an additional half hour at 125°. After the mixture has cooled to room temperature, 250 ml. of water are added in portions and stirring is continued until the compound becomes crystalline. The collected 3-methyl-6-phenylisoxazolo[5,4-b]pyridin-4-ol is washed with water, dried and recrystallized from ethanol yielding 19.9 g. (88%), m.p. 281°-282°.","O","",""
"US039857602","[CH3:1][C:2]1[C:10]2[C:9](O)=[CH:8][C:7]([C:12]3[CH:17]=[CH:16][CH:15]=[CH:14][CH:13]=3)=[N:6][C:5]=2[O:4][N:3]=1.P(Cl)(Cl)([Cl:20])=O>>[Cl:20][C:9]1[CH:8]=[C:7]([C:12]2[CH:17]=[CH:16][CH:15]=[CH:14][CH:13]=2)[N:6]=[C:5]2[O:4][N:3]=[C:2]([CH3:1])[C:10]=12","6.8 g. of 3-methyl-6-phenylisoxazolo[5,4-b]pyridin-4-ol (0.03 mol.) are refluxed in 60 ml. of phosphorous oxychloride for 3 hours. the excess phosphorous oxychloride is removed in vacuo and the oily residue is treated with ice water. The compound becomes solid. The compound is extracted with chloroform, washed with an aqueous sodium carbonate solution (10%) and again with water. Evaporation of the dried (Na2SO4) and charcoal treated chloroform extract provides 6.3 g. (86%) of 4-chloro-3-methyl-6-phenylisoxazolo[5,4-b]-pyridine which is recrystallized from ligroin and melts at 130°-131°.","O","",""
"US039857603","Cl[C:2]1[CH:7]=[C:6]([C:8]2[CH:13]=[CH:12][CH:11]=[CH:10][CH:9]=2)[N:5]=[C:4]2[O:14][N:15]=[C:16]([CH3:17])[C:3]=12.[CH2:18]([NH2:22])[CH2:19][CH2:20][CH3:21]>O>[CH2:18]([NH:22][C:2]1[C:3]2[C:16]([CH3:17])=[N:15][O:14][C:4]=2[N:5]=[C:6]([C:8]2[CH:13]=[CH:12][CH:11]=[CH:10][CH:9]=2)[CH:7]=1)[CH2:19][CH2:20][CH3:21]","12.2 g. of 4-chloro-3methyl-6-phenylisoxazolo[5,4-b]-pyridine (0.05 mol.) are added to 150 ml. of n-butylamine. The reaction mixture is heated at 150°-160° for 3 hours in an autoclave and, after cooling to room temperature, is evaported in vacuo. The residue is treated with water, filtered off and dried. 14.1 g. (100%) of N-butyl-3-methyl-6-phenylisoxazolo[5,4-b]pyridin-4-amine are recrystallized from a mixture of ligroin and ethylacetate (3:1), m.p. 126°-127°.","O","",""
"US039857604","[CH3:1][NH:2][C:3]1[C:4]2[C:17]([CH3:18])=[N:16][O:15][C:5]=2[N:6]=[C:7]([C:9]2[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=2)[CH:8]=1.[ClH:19]>C(#N)C>[ClH:19].[CH3:1][NH:2][C:3]1[C:4]2[C:17]([CH3:18])=[N:16][O:15][C:5]=2[N:6]=[C:7]([C:9]2[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=2)[CH:8]=1 |f:3.4|","The hydrochloride is prepared by dissolving N, 3-dimethyl-6-phenylisoxazolo[5,4-b]pyridin-4-amine in acetonitrile and adding ethereal hydrochloric acid, yield 88.3%, m.p. 232°-234°.","C(C)#N","",""
